カード名(Card Name),カード画像ファイル名(Japanese Image Name),英語版カード画像ファイル名(English Image Name),"ファイル名(empty(B,S),""PR""(P))",ユニット名(Unit Name),ユニット名(英語)(Unit Name in English),登場コスト(Play Cost),CCあるか(if it has CC),CCコスト(CC Cost),色①(Color 1),色②(Color 2),戦闘力(Power),支援力(Support Powr),射程①(Range①),射程②(Range②),射程③(Range③),性別(Gender),武器1(Weapon①),武器2(Weapon②),武器3(Weapon③),効果のクラス名(You don't have to care about here),効果名1(Skill Name①),効果名2(Skill Name②),効果名3(Skill Name③),効果名4(Skill Name④),支援スキル名1(Support Skill Name①),支援スキル名2(Support Skill Name①),コードが出来てるか(作者記入),カードID(increase the number by one),デッキに入れられる上限枚数(4)(max count same name in one deck),パックID,備考(empty)
黒衣の参謀 セネリオ,B03-011N_SAMPLE,Soren_B03-011N by I deserve this,,セネリオ,Soren,1,,,緑,,30,20,1,2,,男,魔導書,,,Senerio_BlackClothSanbo,風の使い手,,,,魔術の紋章,,〇,254,,3,
傭兵三兄弟の長男 オスカー,B03-012HN_SAMPLE,Oscar_B03-012HN by I deserve this,,オスカー,Oscar,3,〇,2,緑,,60,10,1,,,男,槍,馬,,Oscar_OldestInMercenaryBros,トライアングルアタック,頼れる長兄,,,,,〇,255,,3,
穏やかな槍騎士 オスカー,B03-013N_SAMPLE,Oscar_B03-013N by I deserve this,,オスカー,Oscar,1,,,緑,,40,10,1,,,男,槍,馬,,Oscar_CalmLanceKnight,穏やかな長兄,,,,攻撃の紋章,,〇,256,,3,
傭兵三兄弟の次男 ボーレ,B03-014HN_SAMPLE,Boyd_B03-014HN by I deserve this,,ボーレ,Boyd,3,〇,2,緑,,50,10,1,,,男,斧,,,Bore_SecondInMercenaryBros,トライアングルアタック,戦士の心得,,,,,〇,257,,3,
臆せぬ戦士 ボーレ,B03-015N_SAMPLE,Boyd_B03-015N by I deserve this,,ボーレ,Boyd,1,,,緑,,30,10,1,,,男,斧,,,Saji_FighterOfTaris,戦士の心得,,,,攻撃の紋章,,〇,258,,3,
傭兵三兄弟の末弟 ヨファ,B03-016HN_SAMPLE,Rolf_B03-016HN by I deserve this,,ヨファ,Rolf,3,〇,2,緑,,50,20,2,,,男,弓,,,Yofa_JuniorInMercenaryBros,トライアングルアタック,飛行特効,,,,,〇,259,,3,
小さな弓使い ヨファ,B03-017N_SAMPLE,Rolf_B03-017N by I deserve this,,ヨファ,Rolf,1,,,緑,,30,20,2,,,男,弓,,,Yofa_SmallArcher,ヨファの弓,飛行特効,,,攻撃の紋章,,〇,260,,3,
病弱な神官 キルロイ,B03-018N_SAMPLE,Rhys_B03-018N by I deserve this,,キルロイ,Rhys,1,,,緑,,20,20,,,,男,杖,,,Killroy_SickPriest,ライブ,宿命のライバル,,,祈りの紋章,,〇,261,,3,
辛辣な狙撃手 シノン,B03-019N_SAMPLE,Shinon_B03-019N by I deserve this,,シノン,Shinon,3,〇,2,緑,,50,20,2,,,男,弓,,,Sinon_SpicySniper,狙撃,飛行特効,,,,,〇,262,,3,
惚れっぽい重歩兵 ガトリー,B03-020N_SAMPLE,Gatrie_B03-020N by I deserve this,,ガトリー,Gatrie,1,,,緑,,30,10,1,,,男,槍,鎧,,Doga_DefendingKnight,重装の心得,,,,防御の紋章,,〇,263,,3,
宿敵を待つ少女 ワユ,B03-021SRplus_SAMPLE,Mia_B03-021SR+ by I deserve this,,ワユ,Mia,4,〇,3,緑,,70,10,1,,,女,剣,,,Wayu_WaitingForTheEnemy,太刀筋絶好調!,修行修行!,,,,,〇,264,,3,
元気いっぱいの剣士 ワユ,B03-022N_SAMPLE,Mia_B03-022N by I deserve this,,ワユ,Mia,1,,,緑,,40,10,1,,,女,剣,,,Wayu_CheerfulSwordman,剣の修行,,,,攻撃の紋章,,〇,265,,3,
空腹の賢者 イレース,B03-023HN_SAMPLE,Ilyana_B03-023HN by Monnal,,イレース,Ilyana,3,〇,2,緑,,50,20,1,2,,女,魔導書,,,Irace_HungrySorcerer,一飯の恩,屠竜の雷,,,,,〇,266,,3,
儚き魔法少女 イレース,B03-024N_SAMPLE,Ilyana_B03-024N by I deserve this,,イレース,Ilyana,1,,,緑,,30,20,1,2,,女,魔導書,,,Irace_FleetingMagicalGirl,雷の使い手,,,,魔術の紋章,,〇,267,,3,
兄を捜す聖天馬 マーシャ,B03-025R_SAMPLE,Marcia_B03-025R by I deserve this,,マーシャ,Marcia,3,〇,2,緑,,50,30,1,,,女,槍,羽,馬,Marsha_SearchForBrother,天馬の叫び,天馬の護り,,,,,〇,268,,3,
明るい天馬騎士 マーシャ,B03-026N_SAMPLE,Marcia_B03-026N by I deserve this,,マーシャ,Marcia,1,,,緑,,30,30,1,,,女,槍,羽,馬,Smia_FlowerScry,天空の運び手,,,,天空の紋章,,〇,269,,3,
誇り高き戦猫 レテ,B03-027HN_SAMPLE,Lethe_B03-027HN by I deserve this,,レテ,Lethe,2,,,緑,,60,10,1,,,女,獣,馬,,Rete_ProudBattleCat,化身,ベオク嫌い,,,,,〇,270,,3,
獣牙族の娘 レテ,B03-028N_SAMPLE,Lethe_B03-028N by I deserve this,,レテ,Lethe,1,,,緑,,40,10,1,,,女,獣,馬,,Rete_DaughterBeastFang,帝国への怒り,,,,攻撃の紋章,,〇,271,,3,
神出鬼没の情報屋 フォルカ,B03-029N_SAMPLE,Volke_B03-029N by I deserve this,,フォルカ,Volke,2,,,緑,,50,10,1,,,男,暗器,,,Forca_SuddenleySpawnInfoShop,高価な報告書,,,,,,〇,272,,3,
灼熱の騎士魂 ケビン,B03-030HN_SAMPLE,Kieran_B03-030HN by I deserve this,,ケビン,Kieran,3,〇,2,緑,,60,10,1,,,男,斧,馬,,Kevin_FireKnightSoul,一発屋,永遠の好敵手?,,,,,〇,273,,3,
熱血斧騎士 ケビン,B03-031N_SAMPLE,Kieran_B03-031N by I deserve this,,ケビン,Kieran,1,,,緑,,40,10,1,,,男,斧,馬,,Kevin_HotAxeKnight,永遠の好敵手?,,,,攻撃の紋章,,〇,274,,3,
解放への疾槍 ネフェニー,B03-032Rplus_SAMPLE,Nephenee_B03-032R+ by I deserve this,,ネフェニー,Nephenee,4,〇,3,緑,,70,10,1,,,女,槍,,,Nefenie_FastLAnceForRelease,怒れる槍姫,秘めた激情,,,,,〇,275,,3,
寡黙な民兵 ネフェニー,B03-033N_SAMPLE,Nephenee_B03-033N by I deserve this,,ネフェニー,Nephenee,1,,,緑,,40,10,1,,,女,槍,,,Nefenie_SilentWarrior,怒りの一撃,,,,攻撃の紋章,,〇,276,,3,
閃刃の剣豪 ツイハーク,B03-034HN_SAMPLE,Zihark_B03-034HN by I deserve this,,ツイハーク,Zihark,3,〇,2,緑,,60,10,1,,,男,剣,,,Tsuihaku_LightningSwordMaster,キルソード,ラグズの守護剣士,,,,,〇,277,,3,
さすらいの剣士 ツイハーク,B03-035N_SAMPLE,Zihark_B03-035N by I deserve this,,ツイハーク,Zihark,1,,,緑,,40,10,1,,,男,剣,,,Tsuihaku_WanderingSwordman,ラグズの護り手,,,,攻撃の紋章,,〇,278,,3,
決意の赤竜騎士 ジル,B03-036Rplus_SAMPLE,Jill_B03-036R+ by I deserve this,,ジル,Jill,3,〇,2,緑,,50,30,1,,,女,槍,羽,竜,Jiru_DeterminationRedDragonKnight,救出,ラグズへの理解,,,,,〇,279,,3,
忠国の騎士 ジル,B03-037N_SAMPLE,Jill_B03-037N by I deserve this,,ジル,Jill,1,,,緑,,30,30,1,,,女,槍,羽,竜,Jiru_FaithfulToTheCountry,ラグズランス,,,,天空の紋章,,〇,280,,3,
お嬢様騎士 ステラ,B03-038N_SAMPLE,Astrid_B03-038N by I deserve this,,ステラ,Astrid,2,,,緑,,40,20,2,,,女,弓,,,Stella_LadyKnight,ラグズボウ,飛行特効,,,,,〇,281,,3,
神使親衛隊の副長 タニス,B03-039N_SAMPLE,Tanith_B03-039N by I deserve this,,タニス,Tanith,3,〇,2,緑,,50,30,1,,,女,剣,羽,馬,Tanis_SubLeaderGodGuardian,鬼の副長,援軍,,,,,〇,282,,3,
ガリアの獣牙戦士 ライ,B03-040R_SAMPLE,Ranulf_B03-040R by I deserve this,,ライ,Ranulf,3,,,緑,,60,10,1,,,男,獣,馬,,Rai_BeastFungWarriorOfGaris,化身,獣牙の絆,,,,,〇,283,,3,
気さくな戦士 ライ,B03-041N_SAMPLE,Ranulf_B03-041N by I deserve this,,ライ,Ranulf,1,,,緑,,40,10,1,,,男,獣,馬,,Rai_RoughWarrior,獣の眼,,,,攻撃の紋章,,〇,284,,3,
紅竜の軍師 イナ,B03-042N_SAMPLE,Ena_B03-042N by I deserve this,,イナ,Ena,2,,,緑,,50,20,1,,,女,獣,竜,,Ina_RedDragonGunshi,竜鱗の軍師,,,,,,〇,285,,3,
フェニキス王 ティバーン,B03-043Rplus_SAMPLE,Tibarn_B03-043R+ by I deserve this,,ティバーン,Tibarn,5,,,緑,,60,20,1,,,男,獣,羽,馬,Tiban_FenikisKing,空を統べる者,化身の咆哮,,,,,〇,286,,3,
キルヴァス王 ネサラ,B03-044Rplus_SAMPLE,Naesala_B03-044R+ (Ver.2) by I deserve this,,ネサラ,Naesala,4,,,緑,,60,20,1,,,男,獣,羽,馬,Nesara_KilvasKing,疾風の刃,仕事の報酬,,,,,〇,287,,3,
セリノスの王子 リュシオン,B03-045R_SAMPLE,Reyson_B03-045R by I deserve this,,リュシオン,Reyson,2,,,緑,,20,20,,,,男,獣,羽,馬,Lusion_SelinosPrince,呪歌,,,,,,〇,288,,3,
目覚めしサギの王女 リアーネ,B03-046R_SAMPLE,Leanne_B03-046R by I deserve this,,リアーネ,Leanne,1,,,緑,,10,20,,,,女,獣,羽,馬,Riane_AwakenSagiQueen,空の祝福,眠り姫,,,祈りの紋章,,〇,289,,3,
神装の魔将 漆黒の騎士,B03-047SRplus_SAMPLE,Black Knight_B03-047SR+ by I deserve this,,漆黒の騎士,Black Knight,6,〇,5,緑,,80,0,1,,,男,剣,鎧,,BlackKnight_GodArmedMashou,神剣エタルド,女神の加護,,,,,〇,290,,3,
魔陰の教鞭 シェイド,B03-048HN_SAMPLE,Shade_B03-048HN by Zaziki,,シェイド,Shade,3,〇,2,緑,,50,20,1,2,,女,魔導書,,,Shade_MaInTeaching,個人レッスン,,,,,,〇,291,,3,
今日からファルコン エマ,B03-049HN_SAMPLE,Emma_B03-049HN by I deserve this,,エマ,Emma,3,〇,2,緑,,50,30,1,,,女,槍,羽,馬,Ema_FromTodayFalcon,ビギナーズ・ラック!,,,,,,〇,292,,3,
蒼炎の末裔 パリス,B03-050HN_SAMPLE,Priam_B03-050HN by I deserve this,,パリス,Priam,4,〇,3,青,,60,10,1,,,男,剣,,,Parris_AncestorOfBlueFlame,比類なき戦技,蒼炎を継ぐ者,,,,,〇,293,,3,
終焔の白神子 カムイ(女),B03-051SR_SAMPLE,Corrin(F)_B03-051SR by I deserve this,,カムイ(女),Corrin(F),4,〇,3,白,,70,20,1,,,女,剣,,,KamuiOnnna_EndFireWhiteChild,光と闇の炎刃,白夜の夜刀神・終夜,,,,,〇,294,,3,
白夜王国の王女 カムイ(女),B03-052N_SAMPLE,Corrin(F)_B03-052N by I deserve this,,カムイ(女),Corrin(F),1,,,白,,40,20,1,,,女,剣,,,KamuiOnnna_ByakuyaPrincess,夜刀神・幻夜,,,,英雄の紋章,,〇,295,,3,
黎明の歌姫 アクア,B03-053SRplus_SAMPLE,Azura_B03-053SR+ by I deserve this,,アクア,Azura,4,,,白,,60,10,1,,,女,槍,,,Aqua_DawnSingPrincess,運命の詠み歌,異邦の王女,透魔への白道,,,,〇,296,,3,
暗黒の陰陽師 マークス,B03-054HN_SAMPLE,Xander_B03-054HN by I deserve this,,マークス,Xander,4,〇,3,白,,60,20,1,2,,男,魔導書,,,Marks_DarkOnmyoushi,交わる闇,陰陽の霊符,,,,,〇,297,,3,
妖艶な婆裟羅 カミラ,B03-055HN_SAMPLE,Camilla_B03-055HN by I deserve this,,カミラ,Camilla,3,〇,2,白,,60,10,1,,,女,槍,,,Kamira_SexyBashara,交わる闇,虎神・寅,,,,,〇,298,,3,
闇の侍 レオン,B03-056N_SAMPLE,Leo_B03-056N by I deserve this,,レオン,Leo,1,,,白,,40,10,1,,,男,剣,,,Leon_DarkSamurai,勝てると思った？,,,,攻撃の紋章,,〇,299,,3,
可憐な忍 エリーゼ,B03-057N_SAMPLE,Elise_B03-057N by I deserve this,,エリーゼ,Elise,1,,,白,,30,20,1,2,,女,暗器,,,Erese_CuteShinobi,がんばっちゃうよ!,,,,忍術の紋章,,〇,300,,3,
挺身の風忍 スズカゼ,B03-058SR_SAMPLE,Kaze_B03-058SR by I deserve this,,スズカゼ,Kaze,4,〇,3,白,,60,20,1,2,,男,暗器,,,Suzukaze_GuardKazenin,影の務め,疾風の陣,,,,,〇,301,,3,
涼風の忍 スズカゼ,B03-059N_SAMPLE,Kaze_B03-059N by I deserve this,,スズカゼ,Kaze,1,,,白,,30,20,1,2,,男,暗器,,,Suzukaze_SuzukazeShinobi,最後の仕事,,,,忍術の紋章,,〇,302,,3,
働き者の娘 モズメ,B03-060HN_SAMPLE,Mozu_B03-060HN by Zaziki,,モズメ,Mozu,3,〇,2,白,,60,20,1,,,女,槍,,,Mozume_WorkWellGirl,下剋上,,,,,,〇,303,,3,
田舎娘 モズメ,B03-061N_SAMPLE,Mozu_B03-061N by I deserve this,,モズメ,Mozu,1,,,白,,30,20,1,,,女,槍,,,Mozume_CountryGirl,良成長,,,,抵抗の紋章,,〇,304,,3,
白き神竜王子 カンナ(男),B03-062R_SAMPLE,Kana(M)_B03-062R by I deserve this,,カンナ(男),Kana(M),4,〇,3,白,,60,20,1,,,男,竜石,竜,,KannnaOtoko_WhiteGodDragonPrince,強すぎる力,神祖竜の血族,,,,,〇,305,,3,
美声の聖天馬 シグレ,B03-063R_SAMPLE,Shigure_B03-063R by I deserve this,,シグレ,Shigure,3,〇,2,白,,50,30,1,,,男,槍,羽,馬,Sigure_BeautifulVoiceHollyHorse,天馬の叫び,響心の歌,,,,,〇,306,,3,
歌う天馬武者 シグレ,B03-064N_SAMPLE,Shigure_B03-064N by I deserve this,,シグレ,Shigure,1,,,白,,30,30,1,,,男,槍,羽,馬,Smia_FlowerScry,天空の運び手,,,,天空の紋章,,〇,307,,3,
父を超える槍 シノノメ,B03-065HN_SAMPLE,Shiro_B03-065HN by I deserve this,,シノノメ,Shiro,3,〇,2,白,,60,10,1,,,男,槍,,,Shinonome_BeyondFatherLancer,槍の名手,次世代の絆,,,,,〇,308,,3,
未完の大器 シノノメ,B03-066N_SAMPLE,Shiro_B03-066N by I deserve this,,シノノメ,Shiro,1,,,白,,40,10,1,,,男,槍,,,Shinonome_NotCompletedTarent,国を超えた友情,,,,攻撃の紋章,,〇,309,,3,
天性の狩人 キサラギ,B03-067HN_SAMPLE,Kiragi_B03-067HN by I deserve this,,キサラギ,Kiragi,3,〇,2,白,,50,20,2,,,男,弓,,,Kisaragi_NaturalHunter,疾風の王子,飛行特効,,,,,〇,310,,3,
前向きな弓使い キサラギ,B03-068N_SAMPLE,Kiragi_B03-068N by I deserve this,,キサラギ,Kiragi,1,,,白,,30,20,2,,,男,弓,,,Kisaragi_PositiveHunter,野生の王子,飛行特効,,,攻撃の紋章,,〇,311,,3,
星瞳の戦巫女 ミタマ,B03-069Rplus_SAMPLE,Mitama_B03-069R+ by Zaziki,,ミタマ,Mitama,3,〇,2,白,,50,20,2,,,女,弓,,,Mitama_StarEyeBattleMiko,禍事罪穢,飛行特効,,,,,〇,312,,3,
歌詠みの巫女 ミタマ,B03-070N_SAMPLE,Mitama_B03-070N by I deserve this,,ミタマ,Mitama,1,,,白,,30,20,,,,女,槍,,,Mitama_SingingMiko,春祭,,,,祈りの紋章,,〇,313,,3,
冷静沈着の侍 ヒサメ,B03-071N_SAMPLE,Hisame_B03-071N by I deserve this,,ヒサメ,Hisame,2,,,白,,40,10,1,,,男,剣,,,Hisame_CoolSamurai,残心,,,,,,〇,314,,3,
金毛の妖娘 キヌ,B03-072Rplus_SAMPLE,Selkie_B03-072R+ by Zaziki,,キヌ,Selkie,3,〇,2,白,,60,10,1,,,女,獣,馬,,Kinu_GoldenHairAyakashi,次は次はー？,妖宴の戯れ,,,,,〇,315,,3,
じゃれつき妖狐 キヌ,B03-073N_SAMPLE,Selkie_B03-073N by I deserve this,,キヌ,Selkie,1,,,白,,40,10,1,,,女,獣,馬,,Kinu_PlayingYouko,一緒に遊ぼうよ!,,,,攻撃の紋章,,〇,316,,3,
しっかり者の薬師 ミドリコ,B03-074HN_SAMPLE,Midori_B03-074HN by I deserve this,,ミドリコ,Midori,2,,,白,,40,20,2,,,女,弓,,,Midoriko_SteadyPharmacy,得体の知れない薬,飛行特効,,,,,〇,317,,3,
鶴翼の剣客 ユズ,B03-075N_SAMPLE,Yuzu_B03-075N by I deserve this,,ユズ,Yuzu,1,,,白,,40,10,1,,,女,剣,,,Yuzu_CraneWingSwordman,暗夜の客将,,,,攻撃の紋章,,〇,318,,3,
終焔の黒神子 カムイ(男),B03-076SR_SAMPLE,Corrin(M)_B03-076SR by Zaziki,,カムイ(男),Corrin(M),4,〇,3,黒,,70,20,1,,,男,剣,,,KamuiOtoko_EndFireBlackGodChild,闇と光の炎刃,暗夜の夜刀神・終夜,,,,,〇,319,,3,
暗夜王国の王子 カムイ(男),B03-077N_SAMPLE,Corrin(M)_B03-077N by I deserve this,,カムイ(男),Corrin(M),1,,,黒,,40,20,1,,,男,剣,,,KamuiOtoko_AnnyaKing,夜刀神・幻夜,,,,英雄の紋章,,〇,320,,3,
逢魔の歌姫 アクア,B03-078SRplus_SAMPLE,Azura_B03-078SR+ by Zaziki,,アクア,Azura,4,,,黒,,60,10,1,,,女,槍,,,Aqua_MeetDemonSingPrincess,滅びの予言詩,異邦の王女,逢魔への暗道,,,,〇,321,,3,
昇雷の龍騎 リョウマ,B03-079HN_SAMPLE,Ryoma_B03-079HN by I deserve this,,リョウマ,Ryoma,4,〇,3,黒,,60,30,1,,,男,斧,羽,竜,Ryouma_RisingLightningRyuuki,交わる光,闇夜の雷鳴,,,,,〇,322,,3,
紅のメイド ヒノカ,B03-080HN_SAMPLE,Hinoka_B03-080HN by Zaziki,,ヒノカ,Hinoka,3,〇,2,黒,,50,20,1,2,,女,暗器,,,Hinoka_RedMaid,交わる光,戦姫のご奉仕,,,,,〇,323,,3,
白き風の騎士 タクミ,B03-081N_SAMPLE,Takumi_B03-081N by I deserve this,,タクミ,Takumi,1,,,黒,,40,10,1,,,男,槍,馬,,Takumi_WhiteWindKnight,まだまだ未熟だね,,,,攻撃の紋章,,〇,324,,3,
慈しみの重騎士 サクラ,B03-082N_SAMPLE,Sakura_B03-082N by I deserve this,,サクラ,Sakura,1,,,黒,,30,10,1,,,女,槍,鎧,,Sakura_MercyHeavyKnight,鎧まとう巫女,重量オーバー,,,防御の紋章,,〇,325,,3,
誓いの親友 サイラス,B03-083R_SAMPLE,Silas_B03-083R by I deserve this,,サイラス,Silas,3,〇,2,黒,,60,10,1,,,男,槍,馬,,Cilus_AuthBestFriend,変わらぬ友情,友情の誓い,,,,,〇,326,,3,
友情の騎士 サイラス,B03-084N_SAMPLE,Silas_B03-084N by I deserve this,,サイラス,Silas,1,,,黒,,40,10,1,,,男,槍,馬,,Cilus_FriendlyKnight,騎士の誓い,,,,攻撃の紋章,,〇,327,,3,
氷のメイド フローラ,B03-085SRplus_SAMPLE,Flora_B03-085SR by Zaziki,,フローラ,Flora,4,〇,3,黒,,50,20,1,2,,女,暗器,,,Flora_IceMaid,間に合いました,お役に立てましたか?,氷の血,,,,〇,328,,3,
黒き神竜姫 カンナ(女),B03-086R_SAMPLE,Kana(F)_B03-086R by I deserve this,,カンナ(女),Kana(F),4,〇,3,黒,,60,20,1,,,女,竜石,竜,,KannnaOtoko_WhiteGodDragonPrince,強すぎる力,神祖竜の血族,,,,,〇,329,,3,
王道を進む聖騎士 ジークベルト,B03-087HN_SAMPLE,Siegbert_B03-087HN by Zaziki,,ジークベルト,Siegbert,3,〇,2,黒,,60,10,1,,,男,剣,馬,,Jikbelt_RunHollyKnight,覇道を継ぐ者,次世代の絆,,,,,〇,330,,3,
未来の暗夜王 ジークベルト,B03-088N_SAMPLE,Siegbert_B03-088N by I deserve this,,ジークベルト,Siegbert,1,,,黒,,40,10,1,,,男,剣,馬,,Jikbelt_FutureAnnyaKing,国を超えた友情,,,,攻撃の紋章,,〇,331,,3,
才能を秘めた執事 ディーア,B03-089HN_SAMPLE,Dwyer_B03-089HN_by_I_deserve_this_fixed,,ディーア,Dwyer,3,〇,2,黒,,50,20,1,2,,男,暗器,,,Dhia_SealedTarrentShitusji,なんで俺まで...,,,,,,〇,332,,3,
無気力な杖使い ディーア,B03-090N_SAMPLE,Dwyer_B03-090N by I deserve this,,ディーア,Dwyer,1,,,黒,,30,20,,,,男,杖,馬,,Dhia_TiredRodUser,ライブ,,,,祈りの紋章,,〇,333,,3,
義賊×乙女 エポニーヌ,B03-091Rplus_SAMPLE,Nina_B03-091R+ by I deserve this,,エポニーヌ,Nina,3,〇,2,黒,,50,10,2,,,女,弓,,,Eponinu_GizokuOtome,乙女の眼光,飛行特効,,,,,〇,334,,3,
邪な空想 エポニーヌ,B03-092N_SAMPLE,Nina_B03-092N by I deserve this,,エポニーヌ,Nina,1,,,黒,,30,10,2,,,女,弓,,,Eponinu_DarkImagine,禁断の鍵開け,飛行特効,,,盗賊の紋章,,〇,335,,3,
幸運なヒーロー ルッツ,B03-093N_SAMPLE,Percy_B03-093N by I deserve this,,ルッツ,Percy,2,,,黒,,40,30,1,,,男,斧,羽,竜,Luttsu_LuckyHero,強運の塊,,,,,,〇,336,,3,
臆病な重騎士 イグニス,B03-094N_SAMPLE,Ignatius_B03-094N by I deserve this,,イグニス,Ignatius,2,,,黒,,40,10,1,,,男,槍,鎧,,Ignis_CowardlyHeavyKnight,重装の心得,誰かを守る強さ,,,,,〇,337,,3,
父愛深き仔狼 ベロア,B03-095Rplus_SAMPLE,Velouria_B03-095R+ by I deserve this,,ベロア,Velouria,3,〇,2,黒,,60,10,1,,,女,獣,馬,,Beroa_LoveFutherLittleWolf,仕留めますよ...,おいしかったです,,,,,〇,338,,3,
人狼の娘 ベロア,B03-096N_SAMPLE,Velouria_B03-096N by I deserve this,,ベロア,Velouria,1,,,黒,,40,10,1,,,女,獣,馬,,Beroa_HumanWolfGirl,大好きなパパ...,,,,攻撃の紋章,,〇,339,,3,
じゃじゃ馬を駆る聖騎士 ゾフィー,B03-097HN_SAMPLE,Sophie_B03-097HN by Zaziki,,ゾフィー,Sophie,3,〇,2,黒,,60,10,1,,,女,槍,馬,,Zofie_HollyKnightWithJajauma,再移動,人馬一体,,,,,〇,340,,3,
おっちょこちょいな騎士 ゾフィー,B03-098N_SAMPLE,Sophie_B03-098N by I deserve this,,ゾフィー,Sophie,1,,,黒,,40,10,1,,,女,槍,馬,,Zofie_CarelessKnight,そっちじゃないんだってー!!,,,,攻撃の紋章,,〇,341,,3,
謎多き行商人 アンナ,B03-099N_SAMPLE,Anna_B03-099N by I deserve this,,アンナ,Anna,2,,,黒,,20,10,2,,,女,弓,,,Anna_MuchMysteryMerchant,100人のアンナ,飛行特効,,,,,〇,342,256,3,
飛閃の勇鶴 ユズ,B03-100HN_SAMPLE,Yuzu_B03-100HN by Zaziki,,ユズ,Yuzu,3,〇,2,黒,,60,10,1,,,女,剣,,,Yuzu_FlyingCrane,禁じられた秘剣,不屈の精神,,,,,〇,343,,3,
クリミアの勇将 アイク,S05-001STplus_SAMPLE,Ike_S05-001ST+ by I deserve this,,アイク,Ike,4,〇,3,緑,,70,20,1,,,男,剣,,,Ike_CrimiaBraveHero,勇将の進撃,神剣 ラグネル,,,,,〇,344,,3,
戦場に立つ王女 エリンシア,S05-002STplus_SAMPLE,Elincia_S05-002ST+ by I deserve this,,エリンシア,Elincia,3,〇,2,緑,,50,30,1,,,女,剣,羽,馬,Elincia_QueenInBattleField,戦う決意,王女の帰還,,,,,〇,345,,3,
傭兵団の団長 グレイル,S05-003STplus_SAMPLE,Greil_S05-003ST+ by I deserve this,,グレイル,Greil,3,〇,2,緑,,70,20,1,,,男,剣,,,Jeigan_OldPowerful,戦場の教育役,,,,,,〇,346,,3,
