カード名,カード画像ファイル名,英語版カード画像ファイル名,ファイル名(空白ならカード名と同じ),ユニット名,ユニット名(英語),登場コスト,CCあるか,CCコスト,色①,色②,戦闘力,支援力,射程①,射程②,射程③,性別,武器1,武器2,武器3,効果のクラス名,効果名1,効果名2,効果名3,効果名4,支援スキル名1,支援スキル名2,コードが出来てるか(作者記入),カードID,デッキに入れられる上限枚数(4),パックID,備考
癒しの僧 リフ,B01-015N_SAMPLE,Wrys_B01-015N by I deserve this,,リフ,Wrys,1,,,赤,,30,20,,,,男,杖,,,Rif_HealingPriest,きずぐすり,,,,祈りの紋章,,〇,13,,1,
タリスの闘神 オグマ,B01-016SR_SAMPLE,Ogma_B01-016SR by I deserve this,,オグマ,Ogma,4,〇,3,赤,,70,10,1,,,男,剣,,,Oguma_BattleGodOfTaris,戦場の息吹,闘神の一撃,,,,,〇,14,,1,
豪腕の剣闘士 オグマ,B01-017N_SAMPLE,Ogma_B01-017N by I deserve this,,オグマ,Ogma,2,,,赤,,70,10,1,,,男,剣,,,Oguma_BigArmGradiator,宿命の好敵手,,,,,,〇,15,,1,
タリスの傭兵 オグマ,B01-018ST_SAMPLE,Ogma_B01-018HN by I deserve this,,オグマ,Ogma,1,,,赤,,40,10,1,,,男,剣,,,Oguma_MercenaryOfTaris,傭兵隊長,,,,攻撃の紋章,,〇,16,,1,
タリスの戦士 サジ,B01-019ST_SAMPLE,Bord_B01-019N by I deserve this,,サジ,Bord,1,,,赤,,30,10,1,,,男,斧,,,Saji_FighterOfTaris,戦士の心得,,,,攻撃の紋章,,〇,17,,1,
タリスの斧使い マジ,B01-020ST_SAMPLE,Cord_B01-020N by I deserve this,,マジ,Cord,1,,,赤,,30,10,1,,,男,斧,,,Saji_FighterOfTaris,戦士の心得,,,,攻撃の紋章,,〇,18,,1,
タリスの義勇兵 バーツ,B01-021ST_SAMPLE,Barst_B01-021HN by I deserve this,,バーツ,Barst,2,,,赤,,40,10,1,,,男,斧,,,Birts_GiyuheiOfTaris,サジマジバーツ,戦士の心得,,,,,〇,19,,1,
紅の死神 ナバール,B01-022SRplus_SAMPLE,Navarre_B01-022SR+ by I deserve this,,ナバール,Navarre,4,〇,3,赤,,70,10,1,,,男,剣,,,Nabar_RedDeathGod,告死の一閃,二刀流,,,,,〇,20,,1,
凄腕の剣客 ナバール,B01-023N_SAMPLE,Navarre_B01-023N by I deserve this,,ナバール,Navarre,2,,,赤,,70,10,1,,,男,剣,,,Nabar_GreatSwordman,宿命の好敵手,,,,,,〇,21,,1,
紅の剣士 ナバール,B01-024ST_SAMPLE,Navarre_B01-024HN by I deserve this,,ナバール,Navarre,1,,,赤,,40,10,1,,,男,剣,,,Nabar_RedSwordman,無頼の剣,,,,攻撃の紋章,,〇,22,,1,
慈愛の聖女 レナ,B01-025HN_SAMPLE,Lena_B01-025HN by I deserve this,,レナ,Lena,3,〇,2,赤,,50,20,1,2,,女,魔導書,,,Rena_CharitySaint,聖者の祝福,,,,,,〇,23,,1,
辺境の聖女 レナ,B01-026ST_SAMPLE,Lena_B01-026N by I deserve this,,レナ,Lena,1,,,赤,,20,20,,,,女,杖,,,Rena_FrontierSaint,ライブ,ジュリアンとの絆,,,祈りの紋章,,〇,24,,1,
辺境の盗賊 ジュリアン,B01-027HN_SAMPLE,Julian_B01-027HN by I deserve this,,ジュリアン,Julian,2,,,赤,,50,10,1,,,男,剣,,,Julian_FrotierSteel,鍵開け,財宝奪取,,,,,〇,25,,1,
疾風の賢者 マリク,B01-028ST_SAMPLE,Merric_B01-028R by I deserve this,,マリク,Merric,4,〇,3,赤,,60,20,1,2,,男,魔導書,,,Marik_GaleSage,エクスカリバー,風の超魔法,,,,,〇,26,,1,
風の魔導士 マリク,B01-029ST_SAMPLE,Merric_B01-029N by I deserve this,,マリク,Merric,1,,,赤,,30,20,1,2,,男,魔導書,,,Marik_WindSorcerer,エクスカリバー,,,,魔術の紋章,,〇,27,,1,
プリンセス ミネルバ,B01-030Rplus_SAMPLE,Minerva_B01-030R+ by I deserve this,,ミネルバ,Minerva,4,〇,3,赤,,50,30,1,,,女,斧,羽,竜,Minelva_Princess,飛竜の鞭,アイオテの盾,,,,,〇,28,,1,
マケドニアの王女 ミネルバ,B01-031N_SAMPLE,Minerva_B01-031N by I deserve this,,ミネルバ,Minerva,1,,,赤,,30,30,1,,,女,槍,羽,馬,Minelva_PricessOfMakedonia,マケドニアの風,,,,天空の紋章,,〇,29,,1,
天真爛漫な司祭 マリア,B01-032HN_SAMPLE,Maria_B01-032HN by I deserve this,,マリア,Maria,3,〇,2,赤,,50,20,1,2,,女,魔導書,,,Maria_InnocentPriest,リザーブ,,,,,,〇,30,,1,
マケドニアの妹姫 マリア,B01-033N_SAMPLE,Maria_B01-033N by I deserve this,,マリア,Maria,1,,,赤,,20,20,,,,女,杖,,,Maria_SisterPricessOfMakedonia,ライブ,マリアの想い,,,祈りの紋章,,〇,31,,1,
大陸一の弓騎士 ジョルジュ,B01-034HN_SAMPLE,Jeorge_B01-034HN by I deserve this,,ジョルジュ,Jeorge,3,〇,2,赤,,50,20,2,,,男,弓,,,Jolj_ContinentNo1,無双の射手,飛行特効,,,,,〇,32,,1,
オーラの継承者 リンダ,B01-035R_SAMPLE,Linde_B01-035R by I deserve this,,リンダ,Linde,3,〇,2,赤,,50,20,1,2,,女,魔導書,,,RInda_AuraHeir,叡智の泉,オーラ,,,,,〇,33,,1,
大司祭ミロアの娘 リンダ,B01-036STplus_SAMPLE,Linde_B01-036N by I deserve this,,リンダ,Linde,1,,,赤,,30,20,1,2,,女,魔導書,,,Rinda_MiroasDaughter,サンダー,,,,魔術の紋章,,〇,34,,1,
愛深き騎士 ミディア,B01-037N_SAMPLE,Midia_B01-037N by I deserve this,,ミディア,Midia,3,〇,2,赤,,60,10,1,,,女,槍,馬,,Midia_MercyKnight,愛の双刃,ドラゴンランス,,,,,〇,35,,1,
天馬三姉妹の長姉 パオラ,B01-038Rplus_SAMPLE,Palla_B01-038R+ by I deserve this,,パオラ,Palla,3,〇,2,赤,,50,30,1,,,女,槍,羽,馬,Paora_OldestInHorseSisters,トライアングルアタック,三姉妹の絆,,,,,〇,36,,1,
天馬を駆る姉騎士 パオラ,B01-039N_SAMPLE,Palla_B01-039N by I deserve this,,パオラ,Palla,1,,,赤,,30,30,1,,,女,槍,羽,馬,Paora_OldSisterKnightOnHorse,ペガサス三姉妹,,,,天空の紋章,,〇,37,,1,
天馬三姉妹の次姉 カチュア,B01-040Rplus_SAMPLE,Catria_B01-040R+ by I deserve this,,カチュア,Catria,3,〇,2,赤,,50,30,1,,,女,槍,羽,馬,Kachua_SecondInHorseSister,トライアングルアタック,三姉妹の絆,,,,,〇,38,,1,
天馬を駆る女騎士 カチュア,B01-041N_SAMPLE,Catria_B01-041N by I deserve this,,カチュア,Catria,1,,,赤,,30,30,1,,,女,槍,羽,馬,Kachua_FemaleKnightOnHorse,ペガサス三姉妹,,,,天空の紋章,,〇,39,,1,
天馬三姉妹の末っ子 エスト,B01-042Rplus_SAMPLE,Est_B01-042R+ by I deserve this,,エスト,Est,3,〇,2,赤,,50,30,1,,,女,槍,羽,馬,Esto_YoungestInHorseSisters,トライアングルアタック,三姉妹の絆,,,,,〇,40,,1,
天馬を駆る妹騎士 エスト,B01-043N_SAMPLE,Est_B01-043N by I deserve this,,エスト,Est,1,,,赤,,30,30,1,,,女,槍,羽,馬,Esto_YoungSisterKnightOnHorse,ペガサス三姉妹,,,,天空の紋章,,〇,41,,1,
愛深き勇者 アストリア,B01-044N_SAMPLE,Astram_B01-044N by I deserve this,,アストリア,Astram,3,〇,2,赤,,60,10,1,,,男,剣,,,Astria_MercyHero,愛の双刃,ドラゴンソード,,,,,〇,42,,1,
マムクート・プリンセス チキ,B01-046SR_SAMPLE,Tiki_B01-046SR by I deserve this,,チキ,Tiki,5,,,赤,,60,20,1,,,女,竜,竜石,,Chiki_MamkutPrincess,竜姫の微笑み,長寿な竜一族,神竜石,,,,〇,43,,1,
神竜族の王女 チキ,B01-047N_SAMPLE,Tiki_B01-047N by I deserve this,,チキ,Tiki,1,,,赤,,30,20,1,,,女,竜,竜石,,Chiki_GodDragonPricess,長寿な竜一族,,,,竜人の紋章,,〇,44,,1,
アリティアの王女 エリス,B01-048N_SAMPLE,Elice_B01-048N by I deserve this,,エリス,Elice,2,,,赤,,40,20,,,,女,杖,,,Elis_ArthiaQueen,オーム,エリスの想い,,,,,〇,45,,1,
異邦の剣士 アテナ,B01-049N_SAMPLE,Athena_B01-049N by I deserve this,,アテナ,Athena,2,,,赤,,60,10,1,,,女,剣,,,Atena_ForeignSwordman,少女剣士の恩返し,サンダーソード,,,,,〇,46,,1,
ブラックナイツ カミュ,B01-050SR_SAMPLE,Camus_B01-050SR by I deserve this,,カミュ,Camus,5,〇,4,赤,,70,10,1,,,男,槍,馬,,Kamyu_BlackKnight,神槍 グラディウス,,,,,,〇,47,,1,
スターロード マルス,S01-001STplus_SAMPLE,Marth_S01-001ST+ by I deserve this,,マルス,Marth,4,〇,3,赤,,70,20,1,,,男,剣,,,Mars_StarLord,光の王子,ファルシオン,,,,,〇,48,,1,
戦場を翔ける王女 シーダ,S01-002STplus_SAMPLE,Caeda_S01-002ST+ by I deserve this,,シーダ,Caeda,3,〇,2,赤,,50,30,1,,,女,槍,羽,竜,Sheeda_RunInBattle,飛竜の翼,手槍,,,,,〇,49,,1,
忠義の古強者 ジェイガン,S01-003ST_SAMPLE,Jagen_S01-003ST by I deserve this,,ジェイガン,Jagen,3,〇,2,赤,,70,20,1,,,男,槍,馬,,Jeigan_OldPowerful,戦場の教育役,,,,,,〇,50,,1,
剛剣の使い手 オグマ,S01-004STplus_SAMPLE,Ogma_S01-004ST+ by I deserve this,,オグマ,Ogma,3,〇,2,赤,,60,10,1,,,男,剣,,,Oguma_GoukenUser,タリス王国軍の隊長,サンダーソード,,,,,〇,51,,1,
必殺剣の使い手 ナバール,S01-005STplus_SAMPLE,Navarre_S01-005ST+ by I deserve this,,ナバール,Navarre,3,〇,2,赤,,60,10,1,,,男,剣,,,Nabar_CriticalSwordUser,キルソード,孤高の剣士,,,,,〇,52,,1,
新たなる聖王 クロム,B01-051SRplus_SAMPLE,Chrom_B01-051SR+ by I deserve this,,クロム,Chrom,5,〇,4,青,,70,20,1,,,男,剣,,,Crom_NewSaintKing,聖王の威光,神剣 ファルシオン,,,,,〇,53,,1,
英雄王の末裔 クロム,B01-052N_SAMPLE,Chrom_B01-052N by I deserve this,,クロム,Chrom,2,,,青,,50,20,1,,,男,剣,,,Crom_HeroAncsester,勇敢なる王子,,,,,,〇,54,,1,
イーリス聖王国の王子 クロム,B01-053STplus_SAMPLE,Chrom_B01-053HN by I deserve this,,クロム,Chrom,1,,,青,,40,20,1,,,男,剣,,,Crom_EilisPrince,聖痕の輝き,,,,英雄の紋章,,〇,55,,1,
未来を知る者 ルキナ,B01-054SRplus_SAMPLE,Lucina_B01-054SR+ by I deserve this,,ルキナ,Lucina,4,〇,3,青,,70,20,1,,,女,剣,,,Lukina_FutureKnower,運命に抗う者,裏剣 ファルシオン,,,,,〇,56,,1,
聖王の血を引く者 ルキナ,B01-055N_SAMPLE,Lucina_B01-055N by I deserve this,,ルキナ,Lucina,2,,,青,,50,20,1,,,女,剣,,,Lukina_SaintKingBlood,聖なる血脈,,,,,,〇,57,,1,
マルスを名乗る剣士 ルキナ,B01-056HN_SAMPLE,Lucina_B01-056HN by I deserve this,,ルキナ,Lucina,1,,,青,,40,20,1,,,女,剣,,,Lukina_SayingMars,英雄王の名,裏剣 ファルシオン,,,英雄の紋章,,〇,58,,1,
聖王の神軍師 ルフレ(女),B01-057Rplus_SAMPLE,Robin(F)_B01-057R+ by I deserve this,,ルフレ(女),Robin(F),4,〇,3,青,,60,20,1,2,,女,魔導書,,,LufureOnna_SaintKingGunshi,神軍師の采配,これも、策のうちです,,,,,〇,59,,1,
記憶を無くした軍師 ルフレ(女),B01-058ST_SAMPLE,Robin(F)_B01-058N by I deserve this,,ルフレ(女),Robin(F),1,,,青,,30,20,1,2,,女,魔導書,,,LufureOnnna_MemorylessGunshi,軍師の才,,,,計略の紋章,,〇,60,,1,
イーリス聖王国の王女 リズ,B01-059ST_SAMPLE,Lissa_B01-059R by I deserve this,,リズ,Lissa,3,〇,2,青,,60,10,1,,,女,斧,,,Riz_SaintKingdomPrincess,闘う修道女,,,,,,〇,61,,1,
飛び跳ねシスター リズ,B01-060ST_SAMPLE,Lissa_B01-060N by I deserve this,,リズ,Lissa,1,,,青,,30,20,,,,女,杖,,,Riz_JumpingSister,ライブ,,,,祈りの紋章,,〇,62,,1,
温和な騎士団長 フレデリク,B01-061STplus_SAMPLE,Frederick_B01-061N by I deserve this,,フレデリク,Frederick,3,〇,2,青,,70,20,1,,,男,斧,馬,鎧,Jeigan_OldPowerful,戦場の教育役,,,,,,〇,63,,1,
ロザンスの侯爵 ヴィオール,B01-062ST_SAMPLE,Virion_B01-062HN by I deserve this,,ヴィオール,Virion,3,〇,2,青,,50,20,2,,,男,弓,,,Viorle_Rozans,弓の達人,飛行特効,,,,,〇,64,,1,
貴族的な弓使い ヴィオール,B01-063ST_SAMPLE,Virion_B01-063N by I deserve this,,ヴィオール,Virion,1,,,青,,30,20,2,,,男,弓,,,Godon_ReleaseArcherKnight,鋼の弓,飛行特効,,,攻撃の紋章,,〇,65,,1,
紅瞳の猛牛 ソワレ,B01-064STplus_SAMPLE,Sully_B01-064HN by I deserve this,,ソワレ,Sully,3,〇,2,青,,60,10,1,,,女,槍,馬,,Soware_RedEyeOx,聖盾,紅と碧の絆,,,,,〇,66,,1,
勇敢な紅騎士 ソワレ,B01-065ST_SAMPLE,Sully_B01-065N by I deserve this,,ソワレ,Sully,1,,,青,,40,10,1,,,女,槍,馬,,Soware_BravelyRedKnight,紅と碧の絆,,,,攻撃の紋章,,〇,67,,1,
碧眼の黒豹 ソール,B01-066STplus_SAMPLE,Stahl_B01-066HN by I deserve this,,ソール,Stahl,3,〇,2,青,,60,10,1,,,男,剣,馬,,Sole_BlueEyeBlackPunther,聖盾,碧と紅の絆,,,,,〇,68,,1,
お人好しな碧騎士 ソール,B01-067ST_SAMPLE,Stahl_B01-067N by I deserve this,,ソール,Stahl,1,,,青,,40,10,1,,,男,剣,馬,,Sole_KindBlueKnight,碧と紅の絆,,,,攻撃の紋章,,〇,69,,1,
心優しき自警団の花 スミア,B01-068R_SAMPLE,Sumia_B01-068R by I deserve this,,スミア,Sumia,3,〇,2,青,,50,30,1,,,女,槍,羽,馬,Smia_HeartfulFlower,天馬の叫び,天空を翔ける者,,,,,〇,70,,1,
花占いの乙女 スミア,B01-069ST_SAMPLE,Sumia_B01-069N by I deserve this,,スミア,Sumia,1,,,青,,30,30,1,,,女,槍,羽,馬,Smia_FlowerScry,天空の運び手,,,,天空の紋章,,〇,71,,1,
孤高の刃 ロンクー,B01-070ST_SAMPLE,Lon_qu_B01-070R by I deserve this,,ロンクー,Lon,3,〇,2,青,,50,10,1,,,男,剣,,,Ronkue_LonelySword,剣の達人,キルソード,,,,,〇,72,,1,
女嫌いの剣士 ロンクー,B01-071ST_SAMPLE,Lon_qu_B01-071N by I deserve this,,ロンクー,Lon,1,,,青,,50,10,1,,,男,剣,,,Ronkue_NotLikeFemale,女は近づくな,,,,攻撃の紋章,,〇,73,,1,
罵詈雑言の令嬢 マリアベル,B01-072ST_SAMPLE,Maribelle_B01-072N by I deserve this,,マリアベル,Maribelle,1,,,青,,20,20,,,,女,杖,,,Mariabel_BadWordLady,ライブ,令嬢の嗜み,,,祈りの紋章,,〇,74,,1,
スイーテストアサシン ガイア,B01-073SR_SAMPLE,Gaius_B01-073SR by I deserve this,,ガイア,Gaius,3,〇,2,青,,50,10,1,,,男,剣,,,Gaia_SweetestAssasin,暗殺,報酬はスイーツ,,,,,〇,75,,1,
お菓子好き盗賊 ガイア,B01-074N_SAMPLE,Gaius_B01-074N by I deserve this,,ガイア,Gaius,1,,,青,,30,10,1,,,男,剣,,,Gaia_SweetLikeSteel,鍵開け,,,,盗賊の紋章,,〇,76,,1,
完璧なる天馬騎士 ティアモ,B01-075SR_SAMPLE,Cordelia_B01-075SR by I deserve this,,ティアモ,Cordelia,3,〇,2,青,,50,30,1,,,女,槍,羽,馬,Thiamo_PerfectHorseKnight,疾風迅雷,手製の手槍,,,,,〇,77,,1,
若き天才騎士 ティアモ,B01-076ST_SAMPLE,Cordelia_B01-076N by I deserve this,,ティアモ,Cordelia,1,,,青,,30,30,1,,,女,槍,羽,馬,Smia_FlowerScry,天空の運び手,,,,天空の紋章,,〇,78,,1,
不敵なる傭兵 グレゴ,B01-077N_SAMPLE,Gregor_B01-077N by I deserve this,,グレゴ,Gregor,2,,,青,,40,10,1,,,男,剣,,,Grego_NoEnemyArmy,グレゴと幼き竜,,,,,,〇,79,,1,
永遠の幼子 ノノ,B01-078R_SAMPLE,Nowi_B01-078R by I deserve this,,ノノ,Nowi,3,,,青,,50,20,1,2,,女,竜石,竜,,Nono_EternalYoung,幼き竜,長寿な竜一族,,,,,〇,80,,1,
おてんばマムクート ノノ,B01-079N_SAMPLE,Nowi_B01-079N by I deserve this,,ノノ,Nowi,1,,,青,,20,20,1,2,,女,竜石,竜,,Nono_OtenbaMamukut,長寿な竜一族,バイオリズム・奇数,,,竜人の紋章,,〇,81,,1,
愛と執念の闇使い サーリャ,B01-080SR_SAMPLE,Tharja_B01-080SR by I deserve this,,サーリャ,Tharja,4,〇,3,青,,60,20,1,2,,女,魔導書,,,Sarya_LoveDarkUser,ルイン,禁断の呪い,,,,,〇,82,,1,
べレジア王国の呪術師 サーリャ,B01-081N_SAMPLE,Tharja_B01-081N by I deserve this,,サーリャ,Tharja,2,,,青,,40,20,1,2,,女,魔導書,,,Sarya_BeleziaCurse,ミィル,,,,,,〇,83,,1,
物陰の闇使い サーリャ,B01-082HN_SAMPLE,Tharja_B01-082HN by I deserve this,,サーリャ,Tharja,1,,,青,,30,20,1,2,,女,魔導書,,,Sarya_ShadowDarkUser,呪い,,,,暗闇の紋章,,〇,84,,1,
照れ屋の踊り子 オリヴィエ,B01-083R_SAMPLE,Olivia_B01-083R by I deserve this,,オリヴィエ,Olivia,2,,,青,,20,10,1,,,女,剣,,,Olivie_TereyaDancer,踊り,,,,,,〇,85,,1,
ロザンヌの守護者 セルジュ,B01-084R_SAMPLE,Cherche_B01-084R by I deserve this,,セルジュ,Cherche,3,〇,2,青,,50,30,1,,,女,斧,羽,竜,Selju_RozannuGuardian,飛竜の叫び,天空を翔ける者,,,,,〇,86,,1,
竜好きの竜騎士 セルジュ,B01-085N_SAMPLE,Cherche_B01-085N by I deserve this,,セルジュ,Cherche,1,,,青,,30,30,1,,,女,斧,羽,竜,Smia_FlowerScry,天空の運び手,,,,天空の紋章,,〇,87,,1,
笑顔のソーサラー ヘンリー,B01-086HN_SAMPLE,Henry_B01-086HN by I deserve this,,ヘンリー,Henry,3,〇,2,青,,50,20,1,2,,男,魔導書,,,Henley_SmileSorcerer,スライム,死の呪い,,,,,〇,88,,1,
壊れた心の呪術師 ヘンリー,B01-087N_SAMPLE,Henry_B01-087N by I deserve this,,ヘンリー,Henry,1,,,青,,30,20,1,2,,男,魔導書,,,Henley_BrokenHeart,赤の呪い,,,,暗闇の紋章,,〇,89,,1,
異界より来た男の子 マーク(男),B01-088N_SAMPLE,Morgan(M)_B01-088N by I deserve this,,マーク(男),Morgan(M),2,,,青,,40,20,1,2,,男,魔導書,,,MarkOtoko_FromAnotherWorld,軍師の系譜,,,,,,〇,90,,1,
飛翔せし漆黒の翼 ジェローム,B01-089HN_SAMPLE,Gerome-B01-089HN by I deserve this,,ジェローム,Gerome,4,〇,3,青,,60,30,1,,,男,斧,羽,竜,Jerome_FlyingBlackWing,剣殺し,ショートアクス,,,,,〇,91,,1,
鉄仮面の竜騎士 ジェローム,B01-090N_SAMPLE,Gerome_B01-090N by I deserve this,,ジェローム,Gerome,2,,,青,,40,30,1,,,男,斧,羽,竜,Jerome_IronMaskDragonKnight,天翔ける双竜,,,,,,〇,92,,1,
選ばれし希望の戦士 ウード,B01-091SR_SAMPLE,Owain_B01-091SR by I deserve this,,ウード,Owain,4,〇,3,青,,70,10,1,,,男,剣,,,Uudo_SelecterHero,聖魔剣 ホーリーデビルソード,古の魔剣 ミストルティン,,,,,〇,93,,1,
伝説の継承者 ウード,B01-092N_SAMPLE,Owain_B01-092N by I deserve this,,ウード,Owain,2,,,青,,50,10,1,,,男,剣,,,Uudo_LegendHeir,蒼炎剣 ブルーフレイムソード,受け継がれし聖痕,,,,,〇,94,,1,
力を封印せし者 ウード,B01-093HN_SAMPLE,Owain_B01-093HN by I deserve this,,ウード,Owain,1,,,青,,40,10,1,,,男,剣,,,Uudo_LockedPower,古の魔剣? ミステルトィン,,,,攻撃の紋章,,〇,95,,1,
憧れを追う刃 セレナ,B01-094HN_SAMPLE,Severa_B01-094HN by I deserve this,,セレナ,Severa,3,〇,2,青,,60,10,1,,,女,剣,,,Serena_PursueLonging,斧殺し,あざとい一面,,,,,〇,96,,1,
秘めた憧憬 セレナ,B01-095N_SAMPLE,Severa_B01-095N by I deserve this,,セレナ,Severa,1,,,青,,40,10,1,,,女,剣,,,Serena_SecretRespect,裏腹な心,,,,攻撃の紋章,,〇,97,,1,
二つの心を持つ弓兵 ノワール,B01-096N_SAMPLE,Noire_B01-096N by I deserve this,,ノワール,Noire,2,,,青,,40,20,2,,,女,弓,,,Nowaru_TwoMind,母に習った呪い,飛行特効,,,,,〇,98,,1,
花の似合う男 アズール,B01-097Rplus_SAMPLE,Inigo_B01-097R+ by I deserve this,,アズール,Inigo,3,〇,2,青,,60,10,1,,,男,剣,,,Azuru_FlowerLikeMan,太陽,運命の出会い,,,,,〇,99,,1,
花咲く笑顔 アズール,B01-098N_SAMPLE,Inigo_B01-098N by I deserve this,,アズール,Inigo,1,,,青,,40,10,1,,,男,剣,,,Azuru_SmileFlower,ナンパなアズール,,,,攻撃の紋章,,〇,100,,1,
追憶の神竜族 チキ,B01-099HN_SAMPLE,Tiki_B01-099HN by I deserve this,,チキ,Tiki,2,,,青,,30,20,1,2,,女,竜石,竜,,Chiki_RememberDragon,神竜の巫女,長寿な竜一族,,,,,〇,101,,1,
秘密の行商人 アンナ,B01-100HN_SAMPLE,Anna_B01-100HN by I deserve this,,アンナ,Anna,3,〇,2,青,,20,10,1,,,女,剣,,,Anna_SecretMerchant,アンナ姉妹,100人のアンナ,,,,,〇,102,256,1,
聖王国の守護者 クロム,S02-001STplus_SAMPLE,Chrom_S02-001ST+ by I deserve this,,クロム,Chrom,4,〇,3,青,,70,20,1,,,男,剣,,,Crom_SaintKingdomGuardian,クロム自警団,封剣 ファルシオン,,,,,〇,103,,1,
忘れられた重騎士 カラム,S02-002ST_SAMPLE,Kellam_S02-002ST by I deserve this,,カラム,Kellam,1,,,青,,30,10,1,,,男,槍,鎧,,Doga_DefendingKnight,重装の心得,,,,防御の紋章,,〇,104,,1,
貧民街の英雄 ヴェイク,S02-003ST_SAMPLE,Vaike_S02-003ST by I deserve this,,ヴェイク,Vaike,1,,,青,,30,10,1,,,男,斧,,,Saji_FighterOfTaris,戦士の心得,,,,攻撃の紋章,,〇,105,,1,
理知の瞳 ミリエル,S02-004STplus_SAMPLE,Miriel_S02-004ST+ by I deserve this,,ミリエル,Miriel,1,,,青,,30,20,1,2,,女,魔導書,,,Miriel_CleverEye,魔道研究,,,,魔術の紋章,,〇,106,,1,
小さな魔導士 リヒト,S02-005ST_SAMPLE,Ricken_S02-005ST by I deserve this,,リヒト,Ricken,1,,,青,,30,20,1,2,,男,魔導書,,,Rihito_LittleMagician,エルウインド,,,,魔術の紋章,,〇,107,,1,
白夜王国の王子 カムイ(男),P01-001PR_SAMPLE,Corrin(M)_P01-001PR by I deserve this,PR,カムイ(男),Corrin(M),1,,,白,,40,20,1,,,男,剣,,,KamuiOtoko_ByakuyaPrince,暗夜の心,夜刀神・空夜,,,英雄の紋章,,〇,108,,1,
